Party_ID,Party,Votes
101,G.I SRPSKI OPSTANAK,209
102,BALLI KOMBËTAR I KOSOVËS,215
103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,5832
104,POKRET ZA GORA,230
105,GRADANSKA INICIJATIVA GORE,244
106,BOSNJACKA INICIJATIVA PEC,741
107,K.P,278
108,PARTIA BALLISTE,104
109,INICIATIVA QYTETARE PËR OBILIQ,4679
110,INICJATIVA BOŠNJAČKOG JEDINTSVA,687
111,RADOŠ REPANOVIĆ,14
112,PARTIA DEMOKRATIKE E UNITETIT,69
113,LISTA E PAVARUR BEKIM JASHARI,6694
115,JUGOSLAV JOVANOVIĆ,28
116,INICIATIVA QYTETARE PËR SKENDERAJ,229
117,KOSOVA ADALET TÜRK PARTİSİ,1078
118,INICIATIVA PËR FUSHË KOSOVË EGJIPTIAN,890
119,NISMA SOCIALDEMOKRATE,18455
120,INICIATIVA QYTETARE PËR MOGILLËN,148
121,ALEANCA PËR ARDHMËRINË E KOSOVËS,90931
122,INICIATIVA QYTETARE PROGRESI PËR SKËNDERAJ,222
123,KOALICIJA VAKAT,3179
124,PARTIA LIBERALE EGJIPTIANE,513
125,GIBI,347
127,PARTIA SOCIALDEMOKRATE,3136
128,INICIATIVA QYTETARE PËR KLLOKOT,87
129,INICIATIVA QYTETARE BASHKË PËR ISTOGUN,335
131,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,691
132,LISTA NDRYSHE,636
133,HAJRUSH STUBLLA,183
134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,4601
135,NE MUNDEMI,1394
136,SOCIJALDEMOKRATSKA UNIJA,1059
137,SLADJANA PANTOVIĆ,35
139,LËVIZJA PËRPARIMTARE E ROMËVE TË KOSOVËS,426
140,LËVIZJA PËR BASHKIM,4361
141,SELAJDIN BYTYҪI,58
142,PARTIA E DREJTËSISË,2128
143,JEDINSTVENA GORANSKA PARTIJA,1479
144,LËVIZJA VETËVENDOSJE!,168087
145,GI SLOBODA ŠTRPCE,644
146,FORCA E DIASPORËS,1040
147,SRPSKA LISTA,53342
148,HAMDI MALAJ,47
149,ALEANCA KOSOVA E RE,10277
150,NOVA DEMOKRATSKA STRANKA,1933
151,YENİLİKÇİ TÜRK HAREKET PARTİSİ,904
152,NARODNO JEDINSTVO,222
153,ALEANCA SHQIPTARE,342
154,ORGANIZATA BALLI KOMBËTAR DEMOKRAT,573
156,INICIATIVA ERDEM,28
157,AGIM GJELI,141
158,DRAGAN REPANOVIĆ,7
159,BASHKË PËR SHTËRPCËN,963
160,LIDHJA DEMOKRATIKE E KOSOVËS,170134
161,NARODNA SLOGA,262
162,PARTIA E ASHKALINJËVE PËR INTEGRIM,845
164,REFORMIMI DEMOKRATIK PËR FERIZAJN,1866
165,INICIATIVA QYTETARE GREEN PËR DRENAS,1163
166,SHQIPTARËT E BASHKUAR,161
167,PARTIA URA,48
169,UNIONI I BLAKÇORVE,380
170,BOJAN SAICIC,6
173,FJALA,178
174,LËVIZJA QYTETARE VATRA,968
175,INICIATIVA QYTETARE PËR NDRYSHIM,111
177,PARTIA DEMOKRATIKE E KOSOVËS,161608
178,LISTA E ASHKALIVE,667
179,NAŠA INICIJATIVA,566
181,GRAĐANSKA INICIJATIVA ZUBIN POTOK,176
182,DEMOKRATËT PËR DRENASIN,5058
183,SMAJL MUSTAFA,248
184,PARTIA ROME E BASHKUAR E KOSOVËS,131
185,INICIATIVA E THERANDËS,846
186,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,95
187,GI SRPSKA NARODNA SLOGA,351
189,"INICIATIVA QYTETARE ""MITROVICA""",1023
