Candidate,Party_ID,Party,Votes
AGIM ALIU,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,24384
AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,16509
AGIM VELIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,20027
AJET POTERA,10,LËVIZJA VETËVENDOSJE!,11373
ARBAN ABRASHI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,41897
ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,21999
BALI MUHARREMAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,13755
BASRI KODRA,10,LËVIZJA VETËVENDOSJE!,5609
BESIM ILAZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6782
BOŽIDAR DEJANOVIĆ,41,GI KLOKOT-VRBOVAC,1042
DRAGAN PETKOVIC,29,SRPSKA LISTA,1331
FATMIR RASHITI,54,FATMIR  RASHITI,5861
FERIT IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12758
GANI DRESHAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10051
HAKI RUGOVA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,9380
IDRIZ VEHAPI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10271
LUTFI HAZIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,21261
MEHMET KRASNIQI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4155
MIMOZA KUSARI LILA,30,ALTERNATIVA,19152
MUHAREM SVARQA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,19016
MURSEL GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,8607
MYTAHER HASKUKA,10,LËVIZJA VETËVENDOSJE!,25949
NAIM ISMAJLI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6252
NENAD CVETKOVIĆ,67,GI GRA?ANSKA INICIJATIVA NARODNA SLOGA,818
QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,8764
RAGIP BEGAJ,31,NISMA - NISMA PËR KOSOVËN,10868
SALI ASLLANAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,12410
SAMI KURTESHI,10,LËVIZJA VETËVENDOSJE!,12057
SELIM KRYEZIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6303
SHABAN SHABANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6579
SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,7006
SHAQIR TOTAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,25577
SHPEND AHMETI,10,LËVIZJA VETËVENDOSJE!,42262
SMAJL LATIFI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10561
SOKOL BASHOTA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7869
STRAHINJA SPASIĆ,29,SRPSKA LISTA,1032
VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12245
XHAFER GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,6370
XHAFER TAHIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,15122
ZENUN ELEZAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,8397
