Party_ID,Party,Acronym,Votes
1,PARTIA LIBERALE EGJIPTIANE,,4887
2,PARTIA DEMOKRATIKE E KOSOVËS,,178637
3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,3113
4,STRANKA DEMOKRATSKE AKCIJE,,834
5,PARTIJA KOSOVSKIH SRBA,,816
6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1963
7,POKRET ZA GORA,,695
8,NOVA DEMOKRATSKA STRANKA,,3935
9,AAK-PSD KOALICIONI 100% KOSOVË,,96872
10,SLOBODA,,672
11,SAMOSTALNA LIBERALNA STRANKA,,1859
12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,42083
13,JEDINSTVENA GORANSKA PARTIJA,,1159
14,KOALICIJA VAKAT,,7075
15,FJALA,,2852
16,LËVIZJA VETËVENDOSJE!,,221001
17,KOSOVA DEMOKRATIK TÜRK PARTISI,,6788
18,PARTIA ROME E BASHKUAR E KOSOVËS,,1078
19,PARTIA EUROATLANTIKE E KOSOVËS,,1173
20,KOSOVAKI NEVI ROMANI PARTIA,,289
21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,1755
22,ESMIR KASI,,577
23,GRAÐANSKA İNİCİJATİVA GORE,,785
24,LIDHJA DEMOKRATIKE E KOSOVËS,,206516
25,SRPSKA LISTA,,53861
